X	Y	LS	lowCI	upCI	Xs	Ys	Len	Delay	P	PCC	Ppcc	SPCC	Pspcc	Dspcc	SCC	Pscc	SSCC	Psscc	Dsscc	Q	Qpcc	Qspcc	Qscc	Qsscc	Xi	Yi
OTU519	OTU21	0.179904	-0.521939	0.730489	1	2	4	-1	0.427000	0.690573	0.085859	0.690573	0.085859	0	0.379630	0.400940	0.485294	0.329205	-1	0.677778	0.330345	0.007011	0.394156	0.013369	16	21
OTU519	OTU10	0.297615	-0.917914	1.215323	3	4	3	-1	0.441000	0.798352	0.031357	0.798352	0.031357	0	0.056077	0.904950	0.403030	0.428188	-1	0.680303	0.208645	0.005211	0.575435	0.016235	16	22
OTU5	OTU430	-0.337320	-0.632151	-0.201294	2	2	6	0	0.330000	-0.279490	0.543835	-0.753905	0.083392	1	-0.425926	0.340688	-0.746352	0.088347	1	0.628571	0.585680	0.006949	0.383735	0.006929	17	18
OTU5	OTU6	-0.421585	-0.883210	-0.254035	2	1	6	1	0.022000	-0.583620	0.168942	-0.879521	0.020898	1	-0.163663	0.725862	-0.927634	0.007666	1	0.208696	0.397510	0.004571	0.529275	0.002331	17	19
OTU5	OTU18	-0.258249	-0.469606	0.345328	2	1	6	1	0.731000	-0.350339	0.441063	-0.492509	0.320970	1	-0.226455	0.625339	-0.646843	0.165057	1	0.781818	0.557421	0.012176	0.490999	0.009234	17	20
OTU5	OTU21	-0.290214	-0.535304	0.308501	2	1	6	1	0.251000	-0.385977	0.392443	-0.518186	0.292291	1	-0.083333	0.859020	-0.676471	0.140075	1	0.534043	0.539131	0.011772	0.561975	0.008620	17	21
OTU5	OTU10	0.372954	-0.444406	1.084153	2	2	6	0	0.596000	-0.069569	0.882182	0.333908	0.517753	-1	0.663580	0.104121	0.663580	0.104121	0	0.707059	0.664398	0.016774	0.288398	0.007581	17	22
OTU430	OTU6	0.300060	-0.241408	0.713571	2	1	6	1	0.399000	0.339089	0.456861	0.594583	0.213227	-1	0.418251	0.350395	0.676763	0.139837	1	0.665000	0.557421	0.009540	0.383735	0.008620	18	19
OTU430	OTU18	0.282258	-0.303351	0.577572	1	1	7	0	0.174000	0.340441	0.454952	0.472942	0.343479	-1	0.735980	0.059318	0.812897	0.049236	-1	0.440506	0.557421	0.012651	0.244249	0.005781	18	20
OTU430	OTU21	0.160738	-0.364878	0.492344	1	1	4	0	0.954000	-0.175508	0.706615	-0.175508	0.706615	0	0.370370	0.413462	0.492592	0.320875	-1	0.855605	0.638748	0.020937	0.396471	0.013369	18	21
OTU430	OTU10	-0.370589	-1.015088	0.460227	2	2	6	0	0.307000	-0.330732	0.468730	-0.437088	0.386120	1	-0.532734	0.218274	-0.532734	0.218274	0	0.607921	0.557421	0.013653	0.321667	0.010326	18	22
OTU6	OTU18	0.402248	0.233948	0.899609	2	1	6	1	0.301000	0.522673	0.228742	0.656734	0.156524	1	0.592999	0.160522	0.941124	0.005098	1	0.607921	0.464626	0.008432	0.308915	0.002146	19	20
OTU6	OTU21	0.472676	0.262486	0.961276	1	1	7	0	0.042000	0.597910	0.156199	0.683379	0.134503	1	0.872872	0.010323	0.927634	0.007666	1	0.311111	0.397510	0.007935	0.111175	0.002331	19	21
OTU6	OTU10	0.076384	-0.877768	1.001701	1	2	6	-1	0.244000	0.200155	0.666971	0.467367	0.349993	1	0.055067	0.906657	-0.617914	0.191094	-1	0.524731	0.621457	0.012820	0.575435	0.009631	19	22
OTU18	OTU21	0.420016	0.243199	0.756437	1	1	7	0	0.057000	0.794993	0.032616	0.794993	0.032616	0	0.773723	0.041236	0.773723	0.041236	0	0.367742	0.208645	0.005211	0.206179	0.005363	20	21
OTU18	OTU10	0.245295	-0.749583	0.986063	4	4	3	0	0.911000	0.752799	0.050816	0.752799	0.050816	0	0.095242	0.839044	-0.375183	0.463631	1	0.854054	0.254082	0.005933	0.558864	0.017413	20	22
OTU21	OTU10	0.361798	-0.843674	1.049019	4	4	2	0	0.425000	0.892766	0.006821	0.892766	0.006821	0	0.317771	0.487355	0.343322	0.505251	1	0.677778	0.097277	0.002675	0.434584	0.018541	21	22
